payment_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,created_at
pay_00071,cust_1025,499,card,success,,1,2026-08-17T15:48:57.927292
pay_00072,cust_0996,299,wallet,failed,authentication_failed,1,2026-07-25T03:38:57.927296
pay_00073,cust_0463,299,card,success,,1,2026-07-30T07:29:57.927302
pay_00074,cust_0686,499,netbanking,success,,3,2026-08-06T09:04:57.927306
pay_00075,cust_0537,1499,netbanking,failed,authentication_failed,3,2026-08-12T21:24:57.927310
pay_00076,cust_0455,2499,wallet,success,,1,2026-07-31T10:49:57.927315
pay_00077,cust_1182,1999,wallet,success,,1,2026-07-26T11:12:57.927319
pay_00078,cust_0629,299,wallet,success,,2,2026-08-04T23:36:57.927323
pay_00079,cust_0576,1999,upi,failed,insufficient_funds,1,2026-07-24T20:25:57.927327
pay_00080,cust_0829,4999,card,success,,1,2026-08-15T11:08:57.927333
pay_00081,cust_1005,199,card,success,,1,2026-08-13T11:00:57.927337
pay_00082,cust_0713,9999,netbanking,success,,1,2026-07-22T18:01:57.927341
pay_00083,cust_1460,4999,card,success,,1,2026-07-25T12:39:57.927346
pay_00084,cust_1500,299,upi,success,,2,2026-07-28T20:59:57.927350
pay_00085,cust_1014,999,upi,success,,1,2026-08-10T11:12:57.927354
pay_00086,cust_1306,999,card,success,,2,2026-08-12T19:41:57.927358
pay_00087,cust_0895,499,upi,success,,1,2026-08-20T01:23:57.927364
pay_00088,cust_1186,9999,card,success,,3,2026-08-08T12:56:57.927368
pay_00089,cust_1464,1499,netbanking,success,,1,2026-08-02T16:34:57.927372
pay_00090,cust_1083,9999,card,success,,1,2026-08-04T15:30:57.927376
pay_00091,cust_1255,1999,wallet,success,,1,2026-07-30T15:38:57.927381
pay_00092,cust_1375,499,netbanking,success,,2,2026-07-25T21:56:57.927385
pay_00093,cust_1215,999,netbanking,success,,3,2026-08-02T00:50:57.927389
pay_00094,cust_0699,999,card,failed,insufficient_funds,1,2026-08-06T14:49:57.927393
pay_00095,cust_0475,4999,card,success,,2,2026-08-07T09:49:57.927397
pay_00096,cust_0814,199,wallet,success,,1,2026-08-01T15:05:57.927401
pay_00097,cust_1237,499,upi,failed,timeout,1,2026-08-01T17:57:57.927406
pay_00098,cust_0765,499,netbanking,success,,1,2026-08-12T10:20:57.927410
pay_00099,cust_1372,299,upi,success,,1,2026-08-12T05:12:57.927415
pay_00100,cust_0181,999,wallet,success,,1,2026-08-06T06:56:57.927420
pay_00101,cust_0131,199,upi,success,,1,2026-07-29T03:00:57.927424
pay_00102,cust_1443,999,netbanking,failed,limit_exceeded,1,2026-07-30T22:12:57.927428
pay_00103,cust_0935,2499,upi,success,,1,2026-07-29T12:08:57.927433
pay_00104,cust_0925,1999,wallet,success,,1,2026-08-10T14:00:57.927437
pay_00105,cust_0504,499,wallet,success,,1,2026-08-22T06:35:57.927441
pay_00106,cust_1037,1499,netbanking,success,,1,2026-08-17T05:21:57.927446
pay_00107,cust_0549,1999,netbanking,success,,1,2026-07-25T02:40:57.927450
pay_00108,cust_0831,2499,upi,failed,authentication_failed,3,2026-08-11T04:58:57.927455
pay_00109,cust_0459,299,card,success,,1,2026-08-08T07:18:57.927459
pay_00110,cust_0376,1999,upi,failed,insufficient_funds,1,2026-07-28T21:45:57.927464
pay_00111,cust_1058,199,wallet,success,,1,2026-08-10T13:18:57.927468
pay_00112,cust_1261,9999,netbanking,success,,1,2026-08-07T11:54:57.927472
pay_00113,cust_0634,299,wallet,failed,authentication_failed,1,2026-08-05T02:21:57.927477
pay_00114,cust_0061,2499,wallet,success,,2,2026-07-29T21:20:57.927481
pay_00115,cust_0995,4999,upi,success,,2,2026-07-24T03:01:57.927485
pay_00116,cust_1492,1499,upi,success,,2,2026-08-03T12:22:57.927489
pay_00117,cust_0997,199,wallet,success,,1,2026-07-22T12:28:57.927493
pay_00118,cust_1403,499,card,success,,1,2026-07-29T11:50:57.927498
pay_00119,cust_0298,2499,upi,success,,1,2026-07-22T13:05:57.927502
pay_00120,cust_1371,2499,wallet,failed,limit_exceeded,1,2026-08-18T06:06:57.927507
pay_00121,cust_1381,1999,netbanking,success,,3,2026-07-25T15:47:57.927512
pay_00122,cust_0653,299,upi,success,,1,2026-08-07T10:20:57.927516
pay_00123,cust_0686,1999,wallet,failed,bank_error,1,2026-07-27T06:57:57.927521
pay_00124,cust_1335,199,netbanking,success,,1,2026-07-25T12:43:57.927525
pay_00125,cust_0935,9999,upi,success,,1,2026-07-30T04:38:57.927530
pay_00126,cust_0494,2499,card,success,,2,2026-08-07T11:26:57.927534
pay_00127,cust_0721,9999,netbanking,success,,1,2026-08-20T22:26:57.927538
pay_00128,cust_1464,499,netbanking,success,,2,2026-08-17T05:20:57.927542
pay_00129,cust_1468,1999,card,success,,2,2026-07-25T18:56:57.927546
pay_00130,cust_0297,1999,netbanking,success,,1,2026-08-15T16:36:57.927552
pay_00131,cust_0523,1999,wallet,failed,authentication_failed,1,2026-08-09T01:08:57.927556
pay_00132,cust_1411,999,wallet,failed,network_error,1,2026-08-11T18:48:57.927560
pay_00133,cust_1274,2499,netbanking,success,,2,2026-08-05T17:30:57.927565
pay_00134,cust_1220,9999,upi,success,,1,2026-08-18T11:11:57.927569
pay_00135,cust_0370,999,wallet,success,,1,2026-08-05T12:35:57.927573
pay_00136,cust_0634,1999,card,success,,1,2026-07-23T06:59:57.927578
pay_00137,cust_1418,1499,card,success,,2,2026-08-05T23:13:57.927582
pay_00138,cust_0746,1999,card,success,,1,2026-07-24T19:04:57.927587
pay_00139,cust_1120,1499,netbanking,failed,timeout,2,2026-08-22T00:38:57.927592
pay_00140,cust_0876,499,card,success,,2,2026-07-30T19:17:57.927596
pay_00141,cust_0385,299,netbanking,success,,1,2026-08-01T21:56:57.927600
pay_00142,cust_0520,1499,upi,failed,insufficient_funds,1,2026-07-29T00:40:57.927604
pay_00143,cust_1058,199,upi,success,,3,2026-08-16T18:12:57.927608
pay_00144,cust_0254,4999,wallet,success,,1,2026-08-01T20:58:57.927612
pay_00145,cust_0696,9999,netbanking,success,,1,2026-08-14T09:10:57.927617
pay_00146,cust_0922,4999,netbanking,success,,1,2026-08-16T02:43:57.927621
pay_00147,cust_0800,999,wallet,success,,1,2026-08-21T12:55:57.927625
pay_00148,cust_0211,199,upi,success,,1,2026-07-30T17:08:57.927629
pay_00149,cust_0383,1499,wallet,failed,bank_error,1,2026-07-24T04:32:57.927634
pay_00150,cust_1230,9999,upi,success,,1,2026-08-04T01:46:57.927639
pay_00151,cust_0135,499,upi,failed,insufficient_funds,1,2026-08-14T18:16:57.927644
pay_00152,cust_0431,499,wallet,success,,1,2026-07-29T04:01:57.927649
pay_00153,cust_0279,999,netbanking,success,,3,2026-08-19T18:57:57.927653
pay_00154,cust_1222,9999,wallet,success,,1,2026-08-13T16:05:57.927658
pay_00155,cust_1474,1499,card,failed,network_error,1,2026-08-05T10:42:57.927662
pay_00156,cust_0196,2499,card,failed,network_error,1,2026-08-11T00:05:57.927666
pay_00157,cust_0090,1999,upi,success,,1,2026-08-14T07:05:57.927670
pay_00158,cust_0979,2499,netbanking,success,,1,2026-08-13T02:11:57.927676
pay_00159,cust_1072,4999,wallet,failed,timeout,1,2026-08-16T18:32:57.927680
pay_00160,cust_1192,199,wallet,success,,1,2026-08-18T07:10:57.927684
pay_00161,cust_0476,499,netbanking,success,,1,2026-07-30T02:12:57.927689
pay_00162,cust_0662,1499,upi,success,,1,2026-08-04T03:02:57.927693
pay_00163,cust_1353,1999,card,success,,1,2026-08-12T09:01:57.927697
pay_00164,cust_1309,2499,wallet,success,,1,2026-07-29T10:25:57.927701
pay_00165,cust_0293,299,wallet,success,,1,2026-08-04T20:50:57.927706
pay_00166,cust_0625,499,netbanking,success,,1,2026-07-30T22:01:57.927710
pay_00167,cust_1015,9999,upi,success,,1,2026-07-28T03:57:57.927714
pay_00168,cust_0507,4999,card,failed,insufficient_funds,2,2026-08-21T22:28:57.927718
pay_00169,cust_0948,4999,wallet,failed,bank_error,2,2026-08-02T03:30:57.927723
pay_00170,cust_1399,2499,wallet,failed,network_error,1,2026-07-25T01:56:57.927727
pay_00171,cust_0671,4999,wallet,success,,1,2026-08-16T14:25:57.927732
pay_00172,cust_0880,199,wallet,success,,1,2026-08-15T12:39:57.927737
pay_00173,cust_0213,2499,netbanking,success,,1,2026-08-06T10:30:57.927741
pay_00174,cust_0791,4999,upi,success,,1,2026-08-16T00:24:57.927747
pay_00175,cust_0772,2499,wallet,success,,1,2026-08-12T12:20:57.927751
pay_00176,cust_0701,499,upi,failed,authentication_failed,1,2026-08-09T13:26:57.927755
pay_00177,cust_0211,199,netbanking,success,,1,2026-08-20T07:17:57.927760
pay_00178,cust_0786,9999,wallet,success,,1,2026-08-16T16:24:57.927765
pay_00179,cust_0908,2499,upi,failed,limit_exceeded,1,2026-08-15T13:17:57.927769
pay_00180,cust_0705,299,card,failed,timeout,1,2026-08-01T12:30:57.927774
pay_00181,cust_0021,299,card,failed,limit_exceeded,1,2026-08-22T01:37:57.927778
pay_00182,cust_0513,1499,card,failed,network_error,1,2026-08-13T07:26:57.927782
pay_00183,cust_0466,2499,wallet,failed,bank_error,1,2026-08-21T15:53:57.927787
pay_00184,cust_0297,199,wallet,success,,2,2026-08-11T12:50:57.927791
pay_00185,cust_0193,4999,netbanking,success,,2,2026-08-16T07:21:57.927795
pay_00186,cust_0604,199,netbanking,success,,1,2026-07-31T02:52:57.927799
pay_00187,cust_0296,2499,wallet,success,,1,2026-07-29T07:43:57.927803
pay_00188,cust_1162,1999,netbanking,success,,1,2026-07-29T14:04:57.927807
pay_00189,cust_1291,1999,wallet,failed,insufficient_funds,1,2026-08-11T01:43:57.927811
pay_00190,cust_0447,9999,upi,failed,network_error,1,2026-08-14T03:55:57.927816
pay_00191,cust_0862,199,netbanking,success,,1,2026-07-29T21:35:57.927820
pay_00192,cust_1002,299,wallet,success,,3,2026-08-19T03:11:57.927824
pay_00193,cust_1264,4999,upi,failed,bank_error,1,2026-08-18T20:31:57.927830
pay_00194,cust_0932,199,upi,success,,1,2026-07-28T14:24:57.927834
pay_00195,cust_1197,4999,upi,failed,insufficient_funds,2,2026-08-08T19:19:57.927838
pay_00196,cust_0618,9999,netbanking,success,,2,2026-08-11T07:02:57.927842
pay_00197,cust_0169,4999,netbanking,success,,1,2026-08-03T19:36:57.927848
pay_00198,cust_0438,1499,wallet,failed,insufficient_funds,2,2026-08-03T11:04:57.927852
pay_00199,cust_0031,199,wallet,success,,1,2026-08-04T15:50:57.927856
pay_00200,cust_0244,299,wallet,success,,2,2026-08-06T22:23:57.927860
pay_00201,cust_1499,299,wallet,success,,3,2026-08-17T20:57:57.927864
pay_00202,cust_1470,299,wallet,success,,2,2026-08-10T10:00:57.927869
pay_00203,cust_0234,9999,wallet,success,,1,2026-07-28T23:11:57.927873
pay_00204,cust_0553,299,upi,success,,1,2026-08-02T15:54:57.927877
pay_00205,cust_0120,499,netbanking,failed,network_error,1,2026-08-08T20:02:57.927881
pay_00206,cust_0015,499,card,success,,1,2026-08-06T21:26:57.927885
pay_00207,cust_0936,199,wallet,success,,2,2026-07-28T06:51:57.927889
pay_00208,cust_0786,1499,upi,success,,1,2026-07-30T08:16:57.927893
pay_00209,cust_1438,499,card,success,,1,2026-07-22T19:57:57.927898
pay_00210,cust_1135,199,wallet,failed,limit_exceeded,2,2026-08-10T18:29:57.927902
pay_00211,cust_1115,1499,card,success,,1,2026-08-21T22:49:57.927906
pay_00212,cust_1384,999,wallet,failed,bank_error,1,2026-08-03T00:53:57.927910
pay_00213,cust_0096,4999,wallet,success,,1,2026-08-11T08:20:57.927915
pay_00214,cust_0941,1999,upi,failed,bank_error,1,2026-07-22T14:32:57.927919
pay_00215,cust_0759,199,card,success,,1,2026-07-26T09:05:57.927924
pay_00216,cust_0666,499,card,success,,1,2026-08-21T01:39:57.927930
pay_00217,cust_1404,4999,upi,success,,2,2026-08-12T19:01:57.927943
pay_00218,cust_0786,499,upi,success,,1,2026-08-04T23:42:57.927948
pay_00219,cust_0639,4999,netbanking,success,,2,2026-08-10T18:04:57.927952
pay_00220,cust_0900,9999,netbanking,failed,limit_exceeded,1,2026-07-24T21:35:57.927956
pay_00221,cust_0767,2499,card,failed,timeout,2,2026-08-22T01:22:57.927961
pay_00222,cust_0088,9999,netbanking,success,,1,2026-08-13T12:14:57.927965
pay_00223,cust_1410,1999,upi,success,,1,2026-07-27T00:32:57.927969
pay_00224,cust_1159,1999,upi,success,,3,2026-08-17T10:49:57.927973
pay_00225,cust_0515,199,upi,success,,2,2026-08-20T02:15:57.927978
pay_00226,cust_1421,4999,upi,success,,1,2026-08-17T07:05:57.927982
pay_00227,cust_1046,4999,upi,success,,1,2026-07-31T23:31:57.927986
pay_00228,cust_1320,4999,wallet,success,,1,2026-07-27T00:28:57.927990
pay_00229,cust_0907,199,card,failed,network_error,2,2026-08-06T14:15:57.927995
pay_00230,cust_1472,2499,upi,success,,1,2026-08-18T21:42:57.927999
pay_00231,cust_0203,199,upi,success,,1,2026-07-26T21:29:57.928003
pay_00232,cust_1303,299,card,failed,network_error,1,2026-08-14T13:13:57.928007
pay_00233,cust_0160,1499,wallet,success,,2,2026-07-29T01:16:57.928012
pay_00234,cust_1365,9999,upi,success,,2,2026-08-20T18:55:57.928016
pay_00235,cust_0106,199,card,success,,1,2026-08-08T11:25:57.928020
pay_00236,cust_1338,1999,upi,success,,1,2026-08-14T04:14:57.928026
pay_00237,cust_0902,1499,wallet,success,,1,2026-08-17T17:40:57.928031
pay_00238,cust_1417,999,card,success,,1,2026-07-25T08:02:57.928035
pay_00239,cust_1399,199,upi,success,,2,2026-07-30T18:58:57.928039
pay_00240,cust_0080,199,wallet,success,,2,2026-08-21T22:50:57.928043
pay_00241,cust_0011,999,wallet,success,,1,2026-08-22T09:58:57.928047
pay_00242,cust_1295,999,wallet,failed,authentication_failed,3,2026-07-28T04:03:57.928051
pay_00243,cust_0953,499,netbanking,success,,2,2026-08-05T01:36:57.928056
pay_00244,cust_0103,9999,card,success,,1,2026-07-23T23:15:57.928060
pay_00245,cust_1450,499,card,success,,3,2026-07-27T07:49:57.928064
pay_00246,cust_0162,2499,netbanking,failed,limit_exceeded,1,2026-08-19T03:04:57.928068
pay_00247,cust_0069,499,upi,success,,1,2026-08-09T05:56:57.928072
pay_00248,cust_0978,199,card,success,,1,2026-08-10T23:24:57.928077
pay_00249,cust_0299,1499,upi,failed,insufficient_funds,3,2026-08-05T18:06:57.928081
pay_00250,cust_1402,9999,upi,success,,1,2026-08-05T20:55:57.928085
pay_00251,cust_1304,299,netbanking,failed,bank_error,1,2026-07-22T13:18:57.928090
pay_00252,cust_0019,299,netbanking,success,,1,2026-08-17T16:02:57.928094
pay_00253,cust_0277,1499,wallet,failed,bank_error,2,2026-08-16T09:32:57.928098
pay_00254,cust_1118,2499,wallet,success,,1,2026-07-29T21:48:57.928102
pay_00255,cust_0220,199,upi,success,,1,2026-08-20T06:34:57.928107
pay_00256,cust_0783,4999,upi,success,,1,2026-08-06T06:32:57.928112
pay_00257,cust_0463,299,card,failed,bank_error,1,2026-08-11T09:57:57.928117
pay_00258,cust_0964,199,upi,success,,1,2026-08-07T04:38:57.928122
pay_00259,cust_0789,999,netbanking,success,,1,2026-08-10T17:33:57.928126
pay_00260,cust_1306,2499,upi,success,,1,2026-08-06T01:33:57.928130
pay_00261,cust_0351,199,wallet,success,,1,2026-08-09T16:53:57.928134
pay_00262,cust_1013,499,wallet,failed,bank_error,1,2026-08-06T22:34:57.928139
pay_00263,cust_1202,199,netbanking,success,,2,2026-08-05T08:36:57.928143
pay_00264,cust_0514,1499,card,failed,insufficient_funds,1,2026-08-21T14:23:57.928147
pay_00265,cust_0117,299,upi,success,,1,2026-08-09T15:02:57.928151
pay_00266,cust_0683,299,wallet,success,,2,2026-07-28T10:05:57.928155
pay_00267,cust_0440,1999,upi,failed,limit_exceeded,1,2026-08-16T10:09:57.928160
pay_00268,cust_0087,299,netbanking,success,,1,2026-07-25T20:02:57.928164
pay_00269,cust_0460,1499,netbanking,success,,1,2026-08-02T05:53:57.928168
pay_00270,cust_1076,4999,wallet,success,,1,2026-08-10T09:59:57.928172
pay_00271,cust_0175,4999,netbanking,success,,1,2026-08-16T00:04:57.928177
pay_00272,cust_1327,1499,upi,success,,1,2026-08-18T10:53:57.928181
pay_00273,cust_0044,199,card,failed,timeout,1,2026-08-18T16:40:57.928185
pay_00274,cust_0082,499,netbanking,success,,2,2026-08-12T17:48:57.928189
pay_00275,cust_0849,9999,upi,success,,1,2026-08-05T15:56:57.928194
pay_00276,cust_0951,2499,card,success,,1,2026-08-08T14:31:57.928199
pay_00277,cust_0804,199,upi,success,,1,2026-07-28T23:01:57.928208
pay_00278,cust_1358,4999,wallet,success,,1,2026-07-28T00:41:57.928213
pay_00279,cust_0360,199,netbanking,success,,1,2026-08-07T04:10:57.928217
pay_00280,cust_0843,9999,netbanking,success,,1,2026-08-02T16:34:57.928221
pay_00281,cust_0090,1499,wallet,success,,3,2026-07-30T06:03:57.928225
pay_00282,cust_0211,4999,netbanking,success,,2,2026-07-23T13:48:57.928230
pay_00283,cust_1306,199,wallet,success,,3,2026-08-05T02:18:57.928234
pay_00284,cust_0050,2499,upi,failed,network_error,1,2026-08-12T22:22:57.928238
pay_00285,cust_0394,4999,upi,success,,2,2026-08-15T11:11:57.928242
pay_00286,cust_0993,9999,upi,failed,limit_exceeded,1,2026-08-16T14:44:57.928247
pay_00287,cust_0988,4999,card,success,,1,2026-07-28T13:12:57.928251
pay_00288,cust_0910,1499,card,failed,bank_error,1,2026-08-01T15:15:57.928255
pay_00289,cust_1261,1499,netbanking,success,,1,2026-08-07T20:54:57.928259
pay_00290,cust_1147,4999,upi,success,,1,2026-08-15T21:57:57.928263
pay_00291,cust_1128,1499,wallet,success,,1,2026-08-07T23:08:57.928268
pay_00292,cust_0594,299,wallet,failed,timeout,1,2026-08-06T04:54:57.928272
pay_00293,cust_0991,1999,upi,success,,1,2026-08-07T14:57:57.928277
pay_00294,cust_0146,1499,card,failed,limit_exceeded,3,2026-07-24T14:05:57.928282
pay_00295,cust_1145,9999,wallet,failed,limit_exceeded,1,2026-07-30T18:24:57.928286
pay_00296,cust_1496,499,card,success,,3,2026-08-19T17:49:57.928291
pay_00297,cust_1189,2499,wallet,success,,2,2026-08-06T03:58:57.928295
pay_00298,cust_1472,2499,netbanking,failed,network_error,1,2026-08-03T01:36:57.928299
pay_00299,cust_0349,2499,upi,failed,insufficient_funds,1,2026-08-22T09:29:57.928303
pay_00300,cust_0396,1999,upi,success,,1,2026-08-08T17:27:57.928308
pay_00301,cust_0621,199,netbanking,success,,2,2026-08-02T18:08:57.928312
pay_00302,cust_1380,499,upi,success,,1,2026-08-13T00:33:57.928317
pay_00303,cust_0717,299,wallet,success,,2,2026-08-07T22:04:57.928321
pay_00304,cust_0680,299,netbanking,failed,authentication_failed,3,2026-08-01T21:30:57.928325
pay_00305,cust_0246,1999,netbanking,success,,2,2026-08-09T08:38:57.928330
pay_00306,cust_0865,1499,netbanking,success,,1,2026-08-20T22:21:57.928334
pay_00307,cust_0790,1999,upi,success,,2,2026-08-04T13:47:57.928338
pay_00308,cust_1461,1999,wallet,success,,1,2026-08-16T16:25:57.928342
pay_00309,cust_0708,299,wallet,success,,1,2026-07-23T16:08:57.928346
pay_00310,cust_0805,2499,netbanking,failed,authentication_failed,1,2026-08-17T04:54:57.928351
pay_00311,cust_1420,299,card,failed,bank_error,1,2026-08-19T18:58:57.928355
pay_00312,cust_0076,1499,netbanking,failed,network_error,1,2026-08-12T18:35:57.928360
pay_00313,cust_0519,499,netbanking,failed,timeout,1,2026-08-08T06:27:57.928364
pay_00314,cust_0391,1499,netbanking,success,,1,2026-07-24T01:24:57.928369
pay_00315,cust_0371,1499,card,success,,1,2026-08-13T12:24:57.928373
pay_00316,cust_1419,4999,upi,success,,1,2026-08-04T05:28:57.928378
pay_00317,cust_0385,9999,upi,failed,insufficient_funds,1,2026-08-12T20:37:57.928382
pay_00318,cust_0449,199,upi,failed,limit_exceeded,2,2026-08-08T16:54:57.928386
pay_00319,cust_0663,1999,card,success,,2,2026-08-01T22:59:57.928390
pay_00320,cust_1060,4999,netbanking,success,,1,2026-08-01T21:04:57.928394
pay_00321,cust_0756,999,upi,success,,1,2026-08-17T14:44:57.928399
pay_00322,cust_0047,499,wallet,success,,2,2026-08-08T14:31:57.928404
pay_00323,cust_0431,1499,netbanking,success,,2,2026-08-12T15:11:57.928408
pay_00324,cust_0347,9999,upi,failed,bank_error,3,2026-08-20T08:06:57.928413
pay_00325,cust_0614,2499,wallet,success,,1,2026-07-23T10:37:57.928417
pay_00326,cust_0233,1499,wallet,success,,1,2026-07-29T21:10:57.928421
pay_00327,cust_0744,1499,card,failed,network_error,1,2026-08-08T10:58:57.928426
pay_00328,cust_0527,4999,upi,success,,1,2026-08-01T04:11:57.928430
pay_00329,cust_0722,999,card,failed,insufficient_funds,2,2026-07-30T20:28:57.928435
pay_00330,cust_1385,299,card,success,,1,2026-08-21T22:08:57.928439
pay_00331,cust_0609,999,wallet,success,,3,2026-08-10T07:40:57.928443
pay_00332,cust_0763,499,netbanking,success,,2,2026-07-24T22:14:57.928447
pay_00333,cust_0374,999,card,success,,2,2026-07-27T05:22:57.928452
pay_00334,cust_1426,999,wallet,success,,1,2026-07-31T15:30:57.928456
pay_00335,cust_0111,2499,card,success,,1,2026-08-19T19:54:57.928461
pay_00336,cust_0305,499,upi,success,,1,2026-07-29T11:15:57.928465
pay_00337,cust_1145,4999,card,success,,1,2026-07-23T11:32:57.928469
pay_00338,cust_0171,299,upi,success,,1,2026-08-01T03:08:57.928473
pay_00339,cust_0947,4999,upi,failed,authentication_failed,2,2026-08-06T04:45:57.928478
pay_00340,cust_0565,999,upi,failed,insufficient_funds,1,2026-08-11T20:05:57.928482
