payment_id,customer_id,amount,payment_method,status,failure_reason,attempt_number,created_at,recovered,recovered_amount
pay_00097,cust_1237,499,upi,failed,timeout,1,2026-08-01T17:57:57.927406,False,0
pay_00102,cust_1443,999,netbanking,failed,limit_exceeded,1,2026-07-30T22:12:57.927428,False,0
pay_00108,cust_0831,2499,upi,failed,authentication_failed,3,2026-08-11T04:58:57.927455,False,0
pay_00110,cust_0376,1999,upi,failed,insufficient_funds,1,2026-07-28T21:45:57.927464,False,0
pay_00113,cust_0634,299,wallet,failed,authentication_failed,1,2026-08-05T02:21:57.927477,False,0
pay_00120,cust_1371,2499,wallet,failed,limit_exceeded,1,2026-08-18T06:06:57.927507,False,0
pay_00123,cust_0686,1999,wallet,failed,bank_error,1,2026-07-27T06:57:57.927521,False,0
pay_00131,cust_0523,1999,wallet,failed,authentication_failed,1,2026-08-09T01:08:57.927556,False,0
pay_00132,cust_1411,999,wallet,failed,network_error,1,2026-08-11T18:48:57.927560,True,999
pay_00139,cust_1120,1499,netbanking,failed,timeout,2,2026-08-22T00:38:57.927592,True,1499
pay_00142,cust_0520,1499,upi,failed,insufficient_funds,1,2026-07-29T00:40:57.927604,True,1499
pay_00149,cust_0383,1499,wallet,failed,bank_error,1,2026-07-24T04:32:57.927634,True,1499
pay_00151,cust_0135,499,upi,failed,insufficient_funds,1,2026-08-14T18:16:57.927644,True,499
pay_00155,cust_1474,1499,card,failed,network_error,1,2026-08-05T10:42:57.927662,True,1499
pay_00156,cust_0196,2499,card,failed,network_error,1,2026-08-11T00:05:57.927666,True,2499
pay_00159,cust_1072,4999,wallet,failed,timeout,1,2026-08-16T18:32:57.927680,True,4999
pay_00168,cust_0507,4999,card,failed,insufficient_funds,2,2026-08-21T22:28:57.927718,False,0
pay_00169,cust_0948,4999,wallet,failed,bank_error,2,2026-08-02T03:30:57.927723,True,4999
pay_00170,cust_1399,2499,wallet,failed,network_error,1,2026-07-25T01:56:57.927727,True,2499
pay_00176,cust_0701,499,upi,failed,authentication_failed,1,2026-08-09T13:26:57.927755,False,0
pay_00179,cust_0908,2499,upi,failed,limit_exceeded,1,2026-08-15T13:17:57.927769,False,0
pay_00180,cust_0705,299,card,failed,timeout,1,2026-08-01T12:30:57.927774,True,299
pay_00181,cust_0021,299,card,failed,limit_exceeded,1,2026-08-22T01:37:57.927778,False,0
pay_00182,cust_0513,1499,card,failed,network_error,1,2026-08-13T07:26:57.927782,True,1499
pay_00183,cust_0466,2499,wallet,failed,bank_error,1,2026-08-21T15:53:57.927787,False,0
pay_00189,cust_1291,1999,wallet,failed,insufficient_funds,1,2026-08-11T01:43:57.927811,True,1999
pay_00190,cust_0447,9999,upi,failed,network_error,1,2026-08-14T03:55:57.927816,True,9999
pay_00193,cust_1264,4999,upi,failed,bank_error,1,2026-08-18T20:31:57.927830,False,0
pay_00195,cust_1197,4999,upi,failed,insufficient_funds,2,2026-08-08T19:19:57.927838,False,0
pay_00198,cust_0438,1499,wallet,failed,insufficient_funds,2,2026-08-03T11:04:57.927852,False,0
pay_00205,cust_0120,499,netbanking,failed,network_error,1,2026-08-08T20:02:57.927881,False,0
pay_00210,cust_1135,199,wallet,failed,limit_exceeded,2,2026-08-10T18:29:57.927902,False,0
pay_00212,cust_1384,999,wallet,failed,bank_error,1,2026-08-03T00:53:57.927910,False,0
pay_00214,cust_0941,1999,upi,failed,bank_error,1,2026-07-22T14:32:57.927919,True,1999
pay_00220,cust_0900,9999,netbanking,failed,limit_exceeded,1,2026-07-24T21:35:57.927956,True,9999
pay_00221,cust_0767,2499,card,failed,timeout,2,2026-08-22T01:22:57.927961,True,2499
pay_00229,cust_0907,199,card,failed,network_error,2,2026-08-06T14:15:57.927995,True,199
pay_00232,cust_1303,299,card,failed,network_error,1,2026-08-14T13:13:57.928007,True,299
pay_00242,cust_1295,999,wallet,failed,authentication_failed,3,2026-07-28T04:03:57.928051,False,0
pay_00246,cust_0162,2499,netbanking,failed,limit_exceeded,1,2026-08-19T03:04:57.928068,False,0
pay_00249,cust_0299,1499,upi,failed,insufficient_funds,3,2026-08-05T18:06:57.928081,False,0
pay_00251,cust_1304,299,netbanking,failed,bank_error,1,2026-07-22T13:18:57.928090,False,0
pay_00253,cust_0277,1499,wallet,failed,bank_error,2,2026-08-16T09:32:57.928098,True,1499
pay_00257,cust_0463,299,card,failed,bank_error,1,2026-08-11T09:57:57.928117,False,0
pay_00262,cust_1013,499,wallet,failed,bank_error,1,2026-08-06T22:34:57.928139,True,499
pay_00264,cust_0514,1499,card,failed,insufficient_funds,1,2026-08-21T14:23:57.928147,True,1499
pay_00267,cust_0440,1999,upi,failed,limit_exceeded,1,2026-08-16T10:09:57.928160,True,1999
pay_00273,cust_0044,199,card,failed,timeout,1,2026-08-18T16:40:57.928185,True,199
pay_00284,cust_0050,2499,upi,failed,network_error,1,2026-08-12T22:22:57.928238,True,2499
pay_00286,cust_0993,9999,upi,failed,limit_exceeded,1,2026-08-16T14:44:57.928247,False,0
pay_00288,cust_0910,1499,card,failed,bank_error,1,2026-08-01T15:15:57.928255,False,0
pay_00292,cust_0594,299,wallet,failed,timeout,1,2026-08-06T04:54:57.928272,True,299
pay_00294,cust_0146,1499,card,failed,limit_exceeded,3,2026-07-24T14:05:57.928282,False,0
pay_00295,cust_1145,9999,wallet,failed,limit_exceeded,1,2026-07-30T18:24:57.928286,False,0
pay_00298,cust_1472,2499,netbanking,failed,network_error,1,2026-08-03T01:36:57.928299,True,2499
pay_00299,cust_0349,2499,upi,failed,insufficient_funds,1,2026-08-22T09:29:57.928303,True,2499
pay_00304,cust_0680,299,netbanking,failed,authentication_failed,3,2026-08-01T21:30:57.928325,False,0
pay_00310,cust_0805,2499,netbanking,failed,authentication_failed,1,2026-08-17T04:54:57.928351,True,2499
pay_00311,cust_1420,299,card,failed,bank_error,1,2026-08-19T18:58:57.928355,False,0
pay_00312,cust_0076,1499,netbanking,failed,network_error,1,2026-08-12T18:35:57.928360,False,0
pay_00313,cust_0519,499,netbanking,failed,timeout,1,2026-08-08T06:27:57.928364,True,499
pay_00317,cust_0385,9999,upi,failed,insufficient_funds,1,2026-08-12T20:37:57.928382,True,9999
pay_00318,cust_0449,199,upi,failed,limit_exceeded,2,2026-08-08T16:54:57.928386,False,0
pay_00324,cust_0347,9999,upi,failed,bank_error,3,2026-08-20T08:06:57.928413,False,0
pay_00327,cust_0744,1499,card,failed,network_error,1,2026-08-08T10:58:57.928426,True,1499
pay_00329,cust_0722,999,card,failed,insufficient_funds,2,2026-07-30T20:28:57.928435,False,0
pay_00339,cust_0947,4999,upi,failed,authentication_failed,2,2026-08-06T04:45:57.928478,False,0
pay_00340,cust_0565,999,upi,failed,insufficient_funds,1,2026-08-11T20:05:57.928482,True,999
pay_00343,cust_0464,1999,wallet,failed,authentication_failed,1,2026-08-11T13:23:57.928496,False,0
pay_00345,cust_0832,199,netbanking,failed,bank_error,1,2026-08-20T18:30:57.928505,False,0
pay_00346,cust_1239,9999,netbanking,failed,authentication_failed,1,2026-08-04T17:19:57.928510,False,0
pay_00359,cust_0777,9999,card,failed,limit_exceeded,1,2026-07-26T16:15:57.928564,True,9999
pay_00361,cust_0430,199,upi,failed,limit_exceeded,1,2026-08-02T19:11:57.928573,False,0
pay_00363,cust_0654,499,wallet,failed,timeout,2,2026-07-28T17:24:57.928583,True,499
pay_00366,cust_1221,299,upi,failed,limit_exceeded,1,2026-07-23T02:14:57.928596,False,0
pay_00368,cust_0243,4999,upi,failed,timeout,1,2026-08-13T04:58:57.928605,True,4999
pay_00369,cust_0279,9999,netbanking,failed,authentication_failed,2,2026-07-24T18:39:57.928609,False,0
pay_00370,cust_0596,499,card,failed,limit_exceeded,2,2026-08-14T18:43:57.928613,False,0
pay_00371,cust_1131,199,upi,failed,authentication_failed,2,2026-08-16T08:36:57.928617,False,0
pay_00374,cust_0709,199,netbanking,failed,limit_exceeded,1,2026-08-05T13:17:57.928631,False,0
pay_00378,cust_1157,1499,upi,failed,bank_error,1,2026-08-19T20:12:57.928649,True,1499
pay_00380,cust_1007,1499,netbanking,failed,bank_error,1,2026-08-04T05:11:57.928657,False,0
pay_00384,cust_0283,4999,upi,failed,limit_exceeded,1,2026-08-12T02:47:57.928674,False,0
pay_00387,cust_1062,199,card,failed,limit_exceeded,2,2026-08-04T12:52:57.928688,True,199
pay_00395,cust_0173,299,card,failed,network_error,1,2026-08-13T03:07:57.928723,False,0
pay_00399,cust_0874,999,card,failed,insufficient_funds,1,2026-08-03T11:35:57.928740,False,0
pay_00401,cust_0811,9999,upi,failed,bank_error,2,2026-08-04T19:47:57.928748,True,9999
pay_00404,cust_0838,2499,card,failed,timeout,2,2026-08-04T05:47:57.928761,False,0
pay_00407,cust_0073,199,card,failed,bank_error,1,2026-08-02T08:17:57.928775,True,199
pay_00413,cust_1126,9999,card,failed,insufficient_funds,1,2026-08-20T07:25:57.928801,False,0
pay_00417,cust_0464,999,upi,failed,authentication_failed,1,2026-07-27T07:56:57.928817,False,0
pay_00420,cust_0875,299,upi,failed,bank_error,2,2026-07-28T07:02:57.928830,True,299
pay_00421,cust_1036,4999,wallet,failed,limit_exceeded,1,2026-08-14T22:23:57.928835,False,0
pay_00423,cust_0503,499,netbanking,failed,authentication_failed,1,2026-08-20T02:43:57.928843,True,499
pay_00424,cust_0468,1499,upi,failed,timeout,1,2026-08-10T07:09:57.928848,False,0
pay_00425,cust_0818,299,wallet,failed,authentication_failed,1,2026-07-29T06:57:57.928852,False,0
pay_00427,cust_0151,1999,wallet,failed,authentication_failed,1,2026-08-05T11:27:57.928862,False,0
pay_00434,cust_1068,299,netbanking,failed,insufficient_funds,1,2026-07-27T23:25:57.928893,True,299
pay_00439,cust_0578,999,wallet,failed,limit_exceeded,1,2026-07-25T12:41:57.928914,True,999
pay_00441,cust_0752,2499,netbanking,failed,authentication_failed,1,2026-08-05T17:58:57.928923,False,0
pay_00442,cust_0172,999,wallet,failed,timeout,1,2026-08-05T19:27:57.928927,False,0
pay_00443,cust_0380,499,netbanking,failed,limit_exceeded,2,2026-08-04T02:17:57.928931,True,499
pay_00446,cust_0997,1499,upi,failed,timeout,1,2026-07-24T18:22:57.928944,True,1499
pay_00447,cust_1016,2499,card,failed,network_error,1,2026-08-13T03:02:57.928949,True,2499
pay_00449,cust_0087,9999,upi,failed,timeout,1,2026-08-09T16:17:57.928958,False,0
pay_00450,cust_0127,299,card,failed,insufficient_funds,1,2026-08-04T19:31:57.928963,False,0
pay_00457,cust_1027,4999,upi,failed,network_error,1,2026-08-09T10:57:57.928992,True,4999
pay_00458,cust_0900,499,netbanking,failed,insufficient_funds,1,2026-07-30T18:30:57.928997,False,0
pay_00460,cust_0147,2499,card,failed,insufficient_funds,2,2026-08-11T09:51:57.929005,False,0
pay_00464,cust_0050,4999,netbanking,failed,network_error,2,2026-08-07T10:12:57.929022,True,4999
pay_00468,cust_0850,499,upi,failed,authentication_failed,1,2026-08-14T23:31:57.929039,False,0
pay_00473,cust_0439,199,wallet,failed,network_error,2,2026-08-01T04:20:57.929062,True,199
pay_00474,cust_1274,2499,netbanking,failed,network_error,1,2026-08-06T15:51:57.929066,True,2499
pay_00476,cust_0342,1499,upi,failed,limit_exceeded,1,2026-08-17T13:20:57.929075,False,0
pay_00489,cust_0105,9999,upi,failed,insufficient_funds,1,2026-08-16T23:20:57.929132,False,0
pay_00491,cust_0362,499,wallet,failed,authentication_failed,2,2026-08-21T14:02:57.929148,True,499
pay_00494,cust_0348,1999,card,failed,network_error,2,2026-07-26T10:19:57.929164,True,1999
pay_00496,cust_1418,1499,card,failed,bank_error,1,2026-08-14T04:09:57.929173,False,0
pay_00499,cust_0319,999,upi,failed,authentication_failed,2,2026-07-22T12:11:57.929185,False,0
pay_00510,cust_1361,1499,wallet,failed,limit_exceeded,1,2026-08-04T21:26:57.929233,False,0
pay_00512,cust_0037,299,wallet,failed,network_error,1,2026-08-02T10:54:57.929243,True,299
pay_00517,cust_0237,1999,netbanking,failed,limit_exceeded,1,2026-08-16T16:30:57.929264,True,1999
pay_00519,cust_0428,1999,upi,failed,bank_error,1,2026-08-11T16:58:57.929272,True,1999
pay_00521,cust_1333,9999,netbanking,failed,bank_error,1,2026-08-05T20:42:57.929281,True,9999
pay_00523,cust_1407,999,netbanking,failed,network_error,1,2026-08-06T12:34:57.929290,True,999
pay_00524,cust_1373,499,upi,failed,limit_exceeded,1,2026-07-29T00:24:57.929294,True,499
pay_00525,cust_0062,999,wallet,failed,timeout,2,2026-08-17T09:18:57.929298,True,999
pay_00527,cust_0049,2499,upi,failed,timeout,2,2026-07-27T05:56:57.929307,True,2499
pay_00531,cust_0301,199,netbanking,failed,network_error,1,2026-08-22T03:04:57.929326,False,0
pay_00535,cust_1145,9999,upi,failed,timeout,2,2026-08-18T13:20:57.929344,True,9999
pay_00541,cust_0225,1499,netbanking,failed,timeout,2,2026-08-01T01:06:57.929369,False,0
pay_00547,cust_0025,999,netbanking,failed,timeout,2,2026-08-06T12:43:57.929393,False,0
pay_00548,cust_0841,1999,netbanking,failed,insufficient_funds,1,2026-08-14T12:18:57.929399,True,1999
pay_00550,cust_0643,1999,wallet,failed,timeout,3,2026-08-20T22:44:57.929407,False,0
pay_00553,cust_0242,199,netbanking,failed,network_error,1,2026-07-25T21:06:57.929420,False,0
pay_00558,cust_0897,199,card,failed,insufficient_funds,1,2026-08-06T16:29:57.929442,True,199
pay_00559,cust_0229,199,netbanking,failed,network_error,3,2026-08-18T13:56:57.929446,False,0
pay_00560,cust_1208,1499,wallet,failed,timeout,3,2026-08-05T18:47:57.929451,False,0
pay_00564,cust_1244,299,upi,failed,bank_error,1,2026-08-01T00:42:57.929467,False,0
pay_00568,cust_1176,1999,wallet,failed,bank_error,1,2026-08-17T02:29:57.929485,True,1999
pay_00574,cust_1407,2499,wallet,failed,authentication_failed,1,2026-08-11T13:41:57.929511,False,0
pay_00578,cust_0569,299,wallet,failed,timeout,2,2026-08-11T15:10:57.929528,False,0
pay_00580,cust_0472,1499,upi,failed,limit_exceeded,1,2026-08-13T06:21:57.929537,True,1499
pay_00583,cust_0552,1999,upi,failed,bank_error,1,2026-08-09T01:51:57.929550,True,1999
pay_00584,cust_1493,9999,upi,failed,authentication_failed,1,2026-08-02T15:14:57.929555,False,0
pay_00586,cust_0403,299,card,failed,timeout,2,2026-08-20T08:36:57.929563,True,299
pay_00588,cust_1084,9999,upi,failed,limit_exceeded,1,2026-08-08T12:14:57.929573,False,0
pay_00590,cust_0196,2499,card,failed,bank_error,1,2026-08-16T10:11:57.929581,False,0
pay_00594,cust_0137,499,upi,failed,limit_exceeded,1,2026-08-19T07:08:57.929598,False,0
pay_00599,cust_1362,999,upi,failed,bank_error,1,2026-08-21T23:19:57.929620,False,0
pay_00608,cust_1176,1499,upi,failed,limit_exceeded,1,2026-08-15T01:51:57.929658,True,1499
pay_00611,cust_0439,499,netbanking,failed,bank_error,1,2026-08-15T08:01:57.929671,True,499
pay_00613,cust_0774,1499,wallet,failed,limit_exceeded,2,2026-08-16T07:47:57.929680,False,0
pay_00615,cust_0979,9999,wallet,failed,insufficient_funds,1,2026-08-18T05:56:57.929688,False,0
pay_00619,cust_0196,999,netbanking,failed,insufficient_funds,2,2026-08-08T15:53:57.929706,True,999
pay_00622,cust_1477,499,card,failed,authentication_failed,1,2026-07-28T22:29:57.929719,True,499
pay_00624,cust_0832,199,card,failed,limit_exceeded,1,2026-08-16T00:53:57.929727,False,0
pay_00630,cust_0132,9999,card,failed,limit_exceeded,2,2026-08-07T11:14:57.929754,False,0
pay_00631,cust_0734,199,upi,failed,authentication_failed,1,2026-08-19T09:43:57.929758,False,0
pay_00632,cust_0681,9999,upi,failed,network_error,2,2026-08-21T05:47:57.929763,True,9999
pay_00633,cust_0895,2499,netbanking,failed,limit_exceeded,1,2026-08-14T21:12:57.929768,False,0
pay_00634,cust_0356,4999,card,failed,network_error,1,2026-07-30T02:58:57.929772,True,4999
pay_00647,cust_1301,1999,netbanking,failed,network_error,1,2026-08-19T17:50:57.929829,False,0
pay_00648,cust_1006,199,card,failed,authentication_failed,1,2026-08-06T09:52:57.929834,False,0
pay_00649,cust_0857,4999,upi,failed,network_error,1,2026-08-17T14:53:57.929838,True,4999
pay_00659,cust_0963,9999,netbanking,failed,authentication_failed,1,2026-08-21T21:17:57.929880,False,0
pay_00664,cust_1065,299,wallet,failed,bank_error,1,2026-07-25T19:59:57.929902,False,0
pay_00668,cust_0017,4999,wallet,failed,insufficient_funds,1,2026-08-20T03:08:57.929920,False,0
pay_00678,cust_1284,4999,netbanking,failed,network_error,1,2026-08-16T06:32:57.929970,False,0
pay_00680,cust_0182,2499,wallet,failed,network_error,2,2026-07-28T01:48:57.929979,False,0
pay_00683,cust_0346,9999,upi,failed,network_error,2,2026-08-07T12:06:57.929992,True,9999
pay_00685,cust_1326,199,upi,failed,authentication_failed,1,2026-08-13T07:41:57.930003,False,0
pay_00686,cust_0260,2499,wallet,failed,limit_exceeded,1,2026-08-05T05:03:57.930007,True,2499
pay_00687,cust_0329,299,upi,failed,authentication_failed,1,2026-08-17T00:14:57.930012,False,0
pay_00694,cust_0856,299,netbanking,failed,insufficient_funds,2,2026-08-15T22:24:57.930041,True,299
pay_00697,cust_1422,199,wallet,failed,insufficient_funds,1,2026-08-14T05:48:57.930054,False,0
pay_00706,cust_0323,2499,netbanking,failed,network_error,1,2026-08-18T20:51:57.930094,False,0
pay_00708,cust_1392,199,wallet,failed,timeout,1,2026-08-01T01:02:57.930102,True,199
pay_00709,cust_1464,4999,upi,failed,insufficient_funds,1,2026-07-23T15:24:57.930107,False,0
pay_00711,cust_1014,1999,wallet,failed,network_error,1,2026-08-14T14:13:57.930116,True,1999
pay_00715,cust_1346,1499,netbanking,failed,insufficient_funds,1,2026-08-17T08:09:57.930132,False,0
pay_00717,cust_1477,4999,card,failed,insufficient_funds,2,2026-08-06T14:34:57.930141,False,0
pay_00722,cust_0685,499,upi,failed,network_error,1,2026-07-26T03:58:57.930161,False,0
pay_00723,cust_1140,1999,netbanking,failed,bank_error,1,2026-08-15T20:21:57.930167,False,0
pay_00724,cust_0944,199,netbanking,failed,authentication_failed,1,2026-08-03T22:15:57.930171,False,0
pay_00726,cust_0309,4999,netbanking,failed,limit_exceeded,1,2026-08-14T14:57:57.930181,True,4999
pay_00732,cust_0903,1999,card,failed,bank_error,2,2026-08-01T10:01:57.930206,True,1999
pay_00733,cust_0069,199,card,failed,limit_exceeded,1,2026-08-05T15:33:57.930210,False,0
pay_00737,cust_0792,9999,upi,failed,timeout,1,2026-07-29T21:49:57.930228,True,9999
pay_00738,cust_0251,9999,card,failed,authentication_failed,1,2026-08-04T17:31:57.930232,False,0
pay_00741,cust_1145,299,card,failed,authentication_failed,1,2026-08-06T09:11:57.930245,False,0
pay_00743,cust_0161,999,card,failed,authentication_failed,1,2026-08-01T14:59:57.930254,True,999
pay_00744,cust_1029,499,netbanking,failed,insufficient_funds,2,2026-08-11T11:41:57.930258,False,0
pay_00746,cust_0399,9999,netbanking,failed,insufficient_funds,1,2026-08-10T11:08:57.930268,False,0
pay_00755,cust_0654,4999,card,failed,authentication_failed,1,2026-07-24T02:20:57.930305,False,0
pay_00756,cust_0192,299,upi,failed,insufficient_funds,1,2026-08-08T23:07:57.930309,True,299
pay_00759,cust_0524,2499,card,failed,limit_exceeded,1,2026-07-25T13:24:57.930322,False,0
pay_00769,cust_0001,4999,wallet,failed,bank_error,2,2026-08-21T20:11:57.930367,True,4999
pay_00774,cust_1372,1999,upi,failed,limit_exceeded,3,2026-08-03T13:30:57.930388,False,0
pay_00775,cust_0800,299,wallet,failed,network_error,1,2026-08-06T11:06:57.930392,True,299
pay_00779,cust_0605,1999,netbanking,failed,timeout,1,2026-07-22T21:41:57.930410,False,0
pay_00789,cust_1181,199,wallet,failed,network_error,1,2026-07-30T19:04:57.930454,True,199
pay_00794,cust_1107,499,upi,failed,network_error,1,2026-08-05T02:16:57.930475,True,499
pay_00799,cust_1439,1499,upi,failed,insufficient_funds,1,2026-08-19T18:16:57.930496,False,0
pay_00800,cust_1417,2499,upi,failed,authentication_failed,3,2026-08-06T09:34:57.930501,False,0
pay_00802,cust_0773,199,netbanking,failed,network_error,2,2026-08-05T16:22:57.930510,True,199
pay_00804,cust_0831,499,upi,failed,network_error,1,2026-08-18T03:52:57.930519,False,0
pay_00807,cust_0257,1999,card,failed,limit_exceeded,3,2026-08-18T13:57:57.930531,False,0
pay_00810,cust_0277,499,upi,failed,authentication_failed,2,2026-08-17T02:52:57.930545,False,0
pay_00811,cust_0629,1499,netbanking,failed,network_error,1,2026-08-09T01:48:57.930549,True,1499
pay_00812,cust_0350,999,card,failed,limit_exceeded,1,2026-08-18T02:09:57.930554,False,0
pay_00815,cust_1438,1999,card,failed,limit_exceeded,1,2026-07-30T11:06:57.930567,True,1999
pay_00817,cust_0147,4999,card,failed,timeout,1,2026-07-31T03:20:57.930575,False,0
pay_00821,cust_0105,4999,upi,failed,bank_error,2,2026-08-06T03:28:57.930593,True,4999
pay_00826,cust_1458,4999,upi,failed,timeout,1,2026-08-10T21:40:57.930615,True,4999
pay_00828,cust_0067,2499,upi,failed,timeout,2,2026-08-21T22:26:57.930623,False,0
pay_00829,cust_0102,199,wallet,failed,bank_error,1,2026-08-05T22:46:57.930628,True,199
pay_00830,cust_1484,299,wallet,failed,network_error,1,2026-08-17T20:44:57.930632,True,299
pay_00831,cust_1393,2499,card,failed,authentication_failed,1,2026-08-04T10:42:57.930637,False,0
pay_00835,cust_0268,9999,wallet,failed,bank_error,2,2026-08-05T12:56:57.930655,True,9999
pay_00837,cust_1266,999,upi,failed,authentication_failed,1,2026-08-09T14:28:57.930664,False,0
pay_00838,cust_0375,299,netbanking,failed,network_error,1,2026-07-26T06:29:57.930668,False,0
pay_00840,cust_0795,499,wallet,failed,authentication_failed,1,2026-08-15T21:30:57.930678,False,0
pay_00843,cust_1385,1999,card,failed,network_error,2,2026-07-25T14:03:57.930690,True,1999
pay_00846,cust_0316,9999,wallet,failed,network_error,1,2026-08-17T04:44:57.930703,True,9999
pay_00852,cust_0150,9999,card,failed,insufficient_funds,1,2026-08-01T16:56:57.930733,True,9999
pay_00854,cust_0254,199,card,failed,limit_exceeded,1,2026-08-16T13:34:57.930741,False,0
pay_00857,cust_0031,1499,card,failed,insufficient_funds,1,2026-07-30T21:52:57.930754,False,0
pay_00862,cust_0574,1999,wallet,failed,network_error,1,2026-07-26T22:27:57.930775,False,0
pay_00863,cust_0856,1999,upi,failed,timeout,1,2026-08-04T14:17:57.930779,True,1999
pay_00868,cust_1324,999,wallet,failed,insufficient_funds,1,2026-08-07T20:04:57.930800,True,999
pay_00870,cust_0878,199,upi,failed,network_error,2,2026-08-03T11:18:57.930809,False,0
pay_00879,cust_1129,1499,netbanking,failed,bank_error,1,2026-08-09T14:20:57.930848,False,0
pay_00880,cust_1363,2499,upi,failed,network_error,1,2026-07-26T18:27:57.930852,False,0
pay_00881,cust_0196,199,wallet,failed,network_error,1,2026-07-30T18:43:57.930856,False,0
pay_00887,cust_1412,1999,wallet,failed,bank_error,1,2026-08-06T19:46:57.930881,False,0
pay_00895,cust_1073,499,upi,failed,network_error,3,2026-08-04T23:51:57.930915,False,0
pay_00900,cust_0047,2499,netbanking,failed,timeout,2,2026-07-23T00:20:57.930936,False,0
pay_00903,cust_0230,199,wallet,failed,timeout,1,2026-07-28T11:57:57.930949,True,199
pay_00908,cust_1335,1499,upi,failed,limit_exceeded,3,2026-08-09T10:09:57.930970,False,0
pay_00914,cust_0086,1999,upi,failed,bank_error,1,2026-08-16T06:15:57.930996,False,0
pay_00918,cust_1172,999,netbanking,failed,limit_exceeded,1,2026-07-26T21:02:57.931013,True,999
pay_00923,cust_0475,2499,netbanking,failed,limit_exceeded,1,2026-07-31T20:17:57.931034,True,2499
pay_00925,cust_1208,299,upi,failed,insufficient_funds,1,2026-08-06T14:33:57.931042,True,299
pay_00929,cust_1158,9999,upi,failed,limit_exceeded,1,2026-08-18T22:56:57.931059,False,0
pay_00930,cust_1086,9999,wallet,failed,insufficient_funds,1,2026-08-05T02:57:57.931064,True,9999
pay_00932,cust_1301,999,wallet,failed,network_error,2,2026-08-14T05:00:57.931072,False,0
pay_00938,cust_0010,1999,upi,failed,authentication_failed,1,2026-07-24T00:04:57.931100,False,0
