payment_id,amount,failure_reason,attempt_number,recommended_action,decision_reason,expected_recovery_value,audit_status
pay_00056,199,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,109.45,DECISION_RECORDED
pay_00057,4999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,1249.75,DECISION_RECORDED
pay_00058,9999,bank_error,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,5499.450000000001,DECISION_RECORDED
pay_00061,199,bank_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,109.45,DECISION_RECORDED
pay_00063,9999,bank_error,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,5499.450000000001,DECISION_RECORDED
pay_00064,499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,274.45000000000005,DECISION_RECORDED
pay_00069,499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00072,299,authentication_failed,1,AUTHENTICATION,Payment authentication is required,74.75,DECISION_RECORDED
pay_00075,1499,authentication_failed,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,374.75,DECISION_RECORDED
pay_00079,1999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,699.65,DECISION_RECORDED
pay_00094,999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,349.65,DECISION_RECORDED
pay_00097,499,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,324.35,DECISION_RECORDED
pay_00102,999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,299.7,DECISION_RECORDED
pay_00108,2499,authentication_failed,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,624.75,DECISION_RECORDED
pay_00110,1999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,699.65,DECISION_RECORDED
pay_00113,299,authentication_failed,1,AUTHENTICATION,Payment authentication is required,74.75,DECISION_RECORDED
pay_00120,2499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,749.6999999999999,DECISION_RECORDED
pay_00123,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00131,1999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,499.75,DECISION_RECORDED
pay_00132,999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,599.4,DECISION_RECORDED
pay_00139,1499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,974.35,DECISION_RECORDED
pay_00142,1499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,524.65,DECISION_RECORDED
pay_00149,1499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00151,499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,174.64999999999998,DECISION_RECORDED
pay_00155,1499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,899.4,DECISION_RECORDED
pay_00156,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00159,4999,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,3249.35,DECISION_RECORDED
pay_00168,4999,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1749.6499999999999,DECISION_RECORDED
pay_00169,4999,bank_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2749.4500000000003,DECISION_RECORDED
pay_00170,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00176,499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00179,2499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,749.6999999999999,DECISION_RECORDED
pay_00180,299,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,194.35,DECISION_RECORDED
pay_00181,299,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,89.7,DECISION_RECORDED
pay_00182,1499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,899.4,DECISION_RECORDED
pay_00183,2499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1374.45,DECISION_RECORDED
pay_00189,1999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,699.65,DECISION_RECORDED
pay_00190,9999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,5999.4,DECISION_RECORDED
pay_00193,4999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2749.4500000000003,DECISION_RECORDED
pay_00195,4999,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1749.6499999999999,DECISION_RECORDED
pay_00198,1499,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,524.65,DECISION_RECORDED
pay_00205,499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,299.4,DECISION_RECORDED
pay_00210,199,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00212,999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,549.45,DECISION_RECORDED
pay_00214,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00220,9999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00221,2499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1624.3500000000001,DECISION_RECORDED
pay_00229,199,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,119.39999999999999,DECISION_RECORDED
pay_00232,299,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,179.4,DECISION_RECORDED
pay_00242,999,authentication_failed,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,249.75,DECISION_RECORDED
pay_00246,2499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,749.6999999999999,DECISION_RECORDED
pay_00249,1499,insufficient_funds,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,524.65,DECISION_RECORDED
pay_00251,299,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00253,1499,bank_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00257,299,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00262,499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,274.45000000000005,DECISION_RECORDED
pay_00264,1499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,524.65,DECISION_RECORDED
pay_00267,1999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,599.6999999999999,DECISION_RECORDED
pay_00273,199,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,129.35,DECISION_RECORDED
pay_00284,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00286,9999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00288,1499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00292,299,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,194.35,DECISION_RECORDED
pay_00294,1499,limit_exceeded,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,449.7,DECISION_RECORDED
pay_00295,9999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00298,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00299,2499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,874.65,DECISION_RECORDED
pay_00304,299,authentication_failed,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,74.75,DECISION_RECORDED
pay_00310,2499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,624.75,DECISION_RECORDED
pay_00311,299,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00312,1499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,899.4,DECISION_RECORDED
pay_00313,499,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,324.35,DECISION_RECORDED
pay_00317,9999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,3499.6499999999996,DECISION_RECORDED
pay_00318,199,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00324,9999,bank_error,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,5499.450000000001,DECISION_RECORDED
pay_00327,1499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,899.4,DECISION_RECORDED
pay_00329,999,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,349.65,DECISION_RECORDED
pay_00339,4999,authentication_failed,2,AUTHENTICATION,Payment authentication is required,1249.75,DECISION_RECORDED
pay_00340,999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,349.65,DECISION_RECORDED
pay_00343,1999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,499.75,DECISION_RECORDED
pay_00345,199,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,109.45,DECISION_RECORDED
pay_00346,9999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,2499.75,DECISION_RECORDED
pay_00359,9999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00361,199,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00363,499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,324.35,DECISION_RECORDED
pay_00366,299,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,89.7,DECISION_RECORDED
pay_00368,4999,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,3249.35,DECISION_RECORDED
pay_00369,9999,authentication_failed,2,AUTHENTICATION,Payment authentication is required,2499.75,DECISION_RECORDED
pay_00370,499,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,149.7,DECISION_RECORDED
pay_00371,199,authentication_failed,2,AUTHENTICATION,Payment authentication is required,49.75,DECISION_RECORDED
pay_00374,199,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00378,1499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00380,1499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00384,4999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1499.7,DECISION_RECORDED
pay_00387,199,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00395,299,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,179.4,DECISION_RECORDED
pay_00399,999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,349.65,DECISION_RECORDED
pay_00401,9999,bank_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,5499.450000000001,DECISION_RECORDED
pay_00404,2499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1624.3500000000001,DECISION_RECORDED
pay_00407,199,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,109.45,DECISION_RECORDED
pay_00413,9999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,3499.6499999999996,DECISION_RECORDED
pay_00417,999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,249.75,DECISION_RECORDED
pay_00420,299,bank_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00421,4999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1499.7,DECISION_RECORDED
pay_00423,499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00424,1499,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,974.35,DECISION_RECORDED
pay_00425,299,authentication_failed,1,AUTHENTICATION,Payment authentication is required,74.75,DECISION_RECORDED
pay_00427,1999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,499.75,DECISION_RECORDED
pay_00434,299,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,104.64999999999999,DECISION_RECORDED
pay_00439,999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,299.7,DECISION_RECORDED
pay_00441,2499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,624.75,DECISION_RECORDED
pay_00442,999,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,649.35,DECISION_RECORDED
pay_00443,499,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,149.7,DECISION_RECORDED
pay_00446,1499,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,974.35,DECISION_RECORDED
pay_00447,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00449,9999,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,6499.35,DECISION_RECORDED
pay_00450,299,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,104.64999999999999,DECISION_RECORDED
pay_00457,4999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2999.4,DECISION_RECORDED
pay_00458,499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,174.64999999999998,DECISION_RECORDED
pay_00460,2499,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,874.65,DECISION_RECORDED
pay_00464,4999,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2999.4,DECISION_RECORDED
pay_00468,499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00473,199,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,119.39999999999999,DECISION_RECORDED
pay_00474,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00476,1499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,449.7,DECISION_RECORDED
pay_00489,9999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,3499.6499999999996,DECISION_RECORDED
pay_00491,499,authentication_failed,2,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00494,1999,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1199.3999999999999,DECISION_RECORDED
pay_00496,1499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,824.45,DECISION_RECORDED
pay_00499,999,authentication_failed,2,AUTHENTICATION,Payment authentication is required,249.75,DECISION_RECORDED
pay_00510,1499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,449.7,DECISION_RECORDED
pay_00512,299,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,179.4,DECISION_RECORDED
pay_00517,1999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,599.6999999999999,DECISION_RECORDED
pay_00519,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00521,9999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,5499.450000000001,DECISION_RECORDED
pay_00523,999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,599.4,DECISION_RECORDED
pay_00524,499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,149.7,DECISION_RECORDED
pay_00525,999,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,649.35,DECISION_RECORDED
pay_00527,2499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1624.3500000000001,DECISION_RECORDED
pay_00531,199,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,119.39999999999999,DECISION_RECORDED
pay_00535,9999,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,6499.35,DECISION_RECORDED
pay_00541,1499,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,974.35,DECISION_RECORDED
pay_00547,999,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,649.35,DECISION_RECORDED
pay_00548,1999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,699.65,DECISION_RECORDED
pay_00550,1999,timeout,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,1299.3500000000001,DECISION_RECORDED
pay_00553,199,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,119.39999999999999,DECISION_RECORDED
pay_00558,199,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,69.64999999999999,DECISION_RECORDED
pay_00559,199,network_error,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,119.39999999999999,DECISION_RECORDED
pay_00560,1499,timeout,3,ESCALATE,Stopping rule triggered: 3 or more previous attempts,974.35,DECISION_RECORDED
pay_00564,299,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00568,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00574,2499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,624.75,DECISION_RECORDED
pay_00578,299,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,194.35,DECISION_RECORDED
pay_00580,1499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,449.7,DECISION_RECORDED
pay_00583,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00584,9999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,2499.75,DECISION_RECORDED
pay_00586,299,timeout,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,194.35,DECISION_RECORDED
pay_00588,9999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00590,2499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1374.45,DECISION_RECORDED
pay_00594,499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,149.7,DECISION_RECORDED
pay_00599,999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,549.45,DECISION_RECORDED
pay_00608,1499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,449.7,DECISION_RECORDED
pay_00611,499,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,274.45000000000005,DECISION_RECORDED
pay_00613,1499,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,449.7,DECISION_RECORDED
pay_00615,9999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,3499.6499999999996,DECISION_RECORDED
pay_00619,999,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,349.65,DECISION_RECORDED
pay_00622,499,authentication_failed,1,AUTHENTICATION,Payment authentication is required,124.75,DECISION_RECORDED
pay_00624,199,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,59.699999999999996,DECISION_RECORDED
pay_00630,9999,limit_exceeded,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,2999.7,DECISION_RECORDED
pay_00631,199,authentication_failed,1,AUTHENTICATION,Payment authentication is required,49.75,DECISION_RECORDED
pay_00632,9999,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,5999.4,DECISION_RECORDED
pay_00633,2499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,749.6999999999999,DECISION_RECORDED
pay_00634,4999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2999.4,DECISION_RECORDED
pay_00647,1999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1199.3999999999999,DECISION_RECORDED
pay_00648,199,authentication_failed,1,AUTHENTICATION,Payment authentication is required,49.75,DECISION_RECORDED
pay_00649,4999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2999.4,DECISION_RECORDED
pay_00659,9999,authentication_failed,1,AUTHENTICATION,Payment authentication is required,2499.75,DECISION_RECORDED
pay_00664,299,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,164.45000000000002,DECISION_RECORDED
pay_00668,4999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1749.6499999999999,DECISION_RECORDED
pay_00678,4999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,2999.4,DECISION_RECORDED
pay_00680,2499,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00683,9999,network_error,2,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,5999.4,DECISION_RECORDED
pay_00685,199,authentication_failed,1,AUTHENTICATION,Payment authentication is required,49.75,DECISION_RECORDED
pay_00686,2499,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,749.6999999999999,DECISION_RECORDED
pay_00687,299,authentication_failed,1,AUTHENTICATION,Payment authentication is required,74.75,DECISION_RECORDED
pay_00694,299,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,104.64999999999999,DECISION_RECORDED
pay_00697,199,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,69.64999999999999,DECISION_RECORDED
pay_00706,2499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1499.3999999999999,DECISION_RECORDED
pay_00708,199,timeout,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,129.35,DECISION_RECORDED
pay_00709,4999,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1749.6499999999999,DECISION_RECORDED
pay_00711,1999,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1199.3999999999999,DECISION_RECORDED
pay_00715,1499,insufficient_funds,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,524.65,DECISION_RECORDED
pay_00717,4999,insufficient_funds,2,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1749.6499999999999,DECISION_RECORDED
pay_00722,499,network_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,299.4,DECISION_RECORDED
pay_00723,1999,bank_error,1,RETRY_PAYMENT,Temporary technical failure; bounded retry is appropriate,1099.45,DECISION_RECORDED
pay_00724,199,authentication_failed,1,AUTHENTICATION,Payment authentication is required,49.75,DECISION_RECORDED
pay_00726,4999,limit_exceeded,1,CUSTOMER_ACTION,Customer-controlled payment issue; customer intervention required,1499.7,DECISION_RECORDED
